model_company,model_family,canonical_models,price_rows,providers,token_types,official_pricing_url,example_models,median_price_usd_per_1m,cache_read,cache_write,cache_write_1h,input,output,reasoning
Perplexity,Other / Unknown,4,12,2,"input,output",https://docs.perplexity.ai/guides/pricing,"pplx-70b-chat, pplx-70b-online, pplx-7b-chat, pplx-7b-online",0.49,,,,0.44999999999999996,0.64,
Reka,Reka,10,20,3,"input,output",https://www.reka.ai/,"reka-core, reka-core-20240415, reka-core-20240501, reka-edge, reka-edge-20240208, reka-flash, reka-flash-20240226, reka-flash-3",0.9,,,,0.6000000000000001,1.5,
Technology Innovation Institute,Falcon,4,8,1,"input,output",https://falconllm.tii.ae/,"togethercomputer/falcon-40b, togethercomputer/falcon-40b-instruct, togethercomputer/falcon-7b, togethercomputer/falcon-7b-instruct",0.5,,,,0.5,0.5,
Tencent,Hunyuan,2,4,2,"input,output",https://cloud.tencent.com/product/hunyuan,"hunyuan-a13b-instruct, tencent/hunyuan-a13b-instruct",0.35500000000000004,,,,0.14,0.5700000000000001,
Twelve Labs,Pegasus,1,1,1,output,https://www.twelvelabs.io/,twelvelabs.pegasus-1-2-v1-0,7.5,,,,,7.5,
Zhipu AI,GLM,63,281,21,"cache_read,input,output",https://bigmodel.cn/pricing,"glm-4-32b, glm-4-32b-0414-128k, glm-4.5, glm-4.5-air, glm-4.5-airx, glm-4.5-x, glm-4.5v, glm-4.6",0.6,0.11,,,0.6,2.2,
xAI,Grok 4,66,234,9,"cache_read,input,output",https://docs.x.ai/docs/models,"grok-4, grok-4-0709, grok-4-1-fast, grok-4-1-fast-non-reasoning, grok-4-1-fast-non-reasoning-latest, grok-4-1-fast-reasoning, grok-4-1-fast-reasoning-latest, grok-4-128k",2.0,0.2,,,2.0,5.999999999999999,
xAI,Grok 3,18,110,7,"cache_read,input,output",https://docs.x.ai/docs/models,"global/grok-3, global/grok-3-mini, grok-3, grok-3-beta, grok-3-fast, grok-3-fast-beta, grok-3-fast-latest, grok-3-latest",0.875,0.44999999999999996,,,1.7999999999999998,9.5,
xAI,Grok,7,27,6,"cache_read,input,output",https://docs.x.ai/docs/models,"grok-beta, grok-build-0.1, grok-code-fast, grok-code-fast-1, grok-code-fast-1-0825, grok-vision-beta, xai.grok-code-fast-1",1.4999999999999998,0.02,,,0.2,1.5,
xAI,Grok 2,6,16,2,"input,output",https://docs.x.ai/docs/models,"grok-2, grok-2-1212, grok-2-latest, grok-2-vision, grok-2-vision-1212, grok-2-vision-latest",6.0,,,,2.0,10.0,
